"","score","text"
"1",-2,"RT @noconversion: More missionaries are coming now @BJP4India  can not blame this on Congress ..BJP has gone Soft on real Hindu issues @sam…"
"2",0,"RT @BJP4India: From Princess to Poetry and from Buddha to Bollywood; India &amp; Korea have so much in common : PM @narendramodi - Watch at htt…"
"3",-1,"RT @Nik_Haldankar: .@AAPGoa condemns .@BJP4India's ' Vendetta Politics' stand together for .@ArvindKejriwal <ed><U+00A0><U+00BD><ed><U+00B1><U+008D> https://t.co/xvccp9T1v7"
"4",0,"RT @BJP4India: While total funds allocated to Karnataka by Modi government stand at a whopping approximately Rs. 3.36 lakh crore, the Sidda…"
"5",0,"RT @ThinkersPad: Today, @BJP4India occupies Political Hindutva platform so dominantly, that Shiv Sena has decided to look for other pasture…"
"6",0,"@NewsX @Swamy39 @BJP4India @swamy_sena I too agree @Swamy39"
"7",0,"RT @bhangale: Life is Beautiful ... 
@ARCHANASHAH8 
@BJP4India 
@Ayushmishrabjp 
@gaby79285750 
@RRMahalle 
@ameesha_patel 
@AmrutaOfficial…"
"8",1,"@Chancha85074606 @AmitShah @BJP4India @BJP4Karnataka @BSYBJP It is true this is alive because of such sprit like yo… https://t.co/SY6LOIKNp8"
"9",1,"RT @AviralKapil1: @imra_mra @RailMinIndia @PiyushGoyalOffc @PiyushGoyal @BJP4India Don't know why do they lick? Always women empowerment, w…"
"10",0,"@ptshrikant @BJP4India @UPGovt @BJP4UP Great sir"
"11",0,"RT @ThinkersPad: Today, @BJP4India occupies Political Hindutva platform so dominantly, that Shiv Sena has decided to look for other pasture…"
"12",0,"RT @akhileshsharma1: As @BSYBJP turns 75 today, he is likely to be an exception to @BJP4India 75 years retirement rule in case the party co…"
"13",0,"@BindAmresh Bogus Jumla Party (@BJP4India) is just another extension of UPA. #NarendraModi is a ""saffronized marxis… https://t.co/OgH51l3bOz"
"14",0,"RT @mani24sjcplgma1: @svaradarajan Meaning @myogiadityanath with D Help of @narendramodi @BJP4India @RSSorg Where Responsible 4r D Crimes C…"
"15",0,"RT @ThinkersPad: Today, @BJP4India occupies Political Hindutva platform so dominantly, that Shiv Sena has decided to look for other pasture…"
"16",-1,"RT @NewsX: In my opinion, it’s a murder: BJP MP Subramanian Swamy on Sridevi’s demise
#SrideviDeathMystery #Sridevi @Swamy39 @BJP4India @sw…"
"17",1,"RT @BJP4India: I urged the scientific community to deliberate on how Artificial Intelligence could help us make life easier for farmers, di…"
"18",0,"RT @BJP4India: LIVE: PM Shri @narendramodi addressing the India-Korea Business Summit in Delhi. https://t.co/uFsufwiH6u"
"19",0,"PM &amp; @BJP4India will lose both respect &amp; votes if anything like this ever happens. Addressing these ""sinister"" issu… https://t.co/EfYsbWGjm3"
"20",0,"RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…"
"21",0,"@Pradeep1Mishra @YssHeadOffice @AsaramBapuJi @YssGzb @YssHyderabad @YssChandigarh @YssThane @YssAgraOfficial… https://t.co/qIfcXnAiUA"
"22",-1,"Another scam.... This time by media so you don't hear about this.. 
.
https://t.co/T2IjY5Egn0 @INCIndia @BJP4India… https://t.co/TDxLi0aVCh"
"23",1,"@amritabhinder @NoufMarwaai @BJP4India @narendramodi @mannukoshy You are welcome <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"24",0,"RT @ThinkersPad: Today, @BJP4India occupies Political Hindutva platform so dominantly, that Shiv Sena has decided to look for other pasture…"
"25",0,"RT @Abhishek__k2712: It's high time for the @BJP4India govt to make clear whether at all they're concerned about the future of students who…"
"26",0,"@PakizaKhan18 @narendramodi @AjazkhanActor @RSSorg @BJP4India Nice"
"27",0,"RT @BJP4India: LIVE: PM Shri @narendramodi addressing the India-Korea Business Summit in Delhi. https://t.co/uFsufwiH6u"
"28",0,"No matter what my vote will go to Congress in 2019.

Ashim Khurana resign karo.

CBI enquiry in SSC PAPER LEAK.… https://t.co/KDTVIAfPEJ"
"29",0,"RT @Abhishek__k2712: It's high time for the @BJP4India govt to make clear whether at all they're concerned about the future of students who…"
"30",0,"RT @BJP4India: We are on a de-regulation and de-licensing drive. Validity period of industrial licenses has been increased from three years…"
"31",1,"@myogiadityanath - Only a leader as devoted and dedicated as you can save the holiness of this religious town Allah… https://t.co/Fjc984s3v2"
"32",0,"RT @BJP4India: In a unique endeavour in Raipur, Chhattisgarh, the state’s first ‘Trash Mahotsav’ was organized. The objective behind this f…"
"33",0,"@Rss__org @BJP4India @narendramodi @OPSharmaBJP @MlaVishwasNagar @sunilkapoor8 The root cause is the Congress who a… https://t.co/rpRewXuF3H"
"34",-1,"RT @sagarikaghose: The @INC MLA's son was rightly condemned for beating up an injured man, will the @BJP4India MLA who killed 9 people be e…"
"35",1,"RT @BJP4India: If you see around the globe, there are very few countries where you have three important factors of economy together. They a…"
"36",1,"RT @BJP4India: I would like to personally invite to India those who are not yet present here. There are very few countries in the world whe…"
"37",0,"Why didn’t ECI think of this ...would have saved @bjd_odisha and @BJP4India their money and @Naveen_Odisha and… https://t.co/ioSWKtmfFP"
"38",0,"@hemant_p @amritabhinder @barbarindian @NoufMarwaai @BJP4India @narendramodi @mannukoshy What a loser<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
Do everyo… https://t.co/IZvVPSmDuN"
"39",0,"@RoopaSpeaks @rajarshilahiri @BJP4India @149paramita @jay_majumdar Like your way of politics. Wondering why they we… https://t.co/qD5iNvrTQZ"
"40",0,"RT @BJP4India: From Princess to Poetry and from Buddha to Bollywood; India &amp; Korea have so much in common : PM @narendramodi - Watch at htt…"
"41",0,"RT @abhinavgoel1006: Sir Kerosene dealers purposely being troubled by the state authorities kindly help @PMOIndia @narendramodi @BJP4India"
"42",0,"RT @BJP4India: We are already the third-largest economy by purchasing power. Very soon, we will become the world's fifth-largest economy by…"
"43",0,"RT @BJP4India: Shri @AmitShah addressing Schedule Caste Convention at N.V. Grounds, Gulbarga, Karnataka. #ShahInGulbarga https://t.co/K8Jyo…"
"44",0,"@KapilMishra_IND if @BJP4India remains an ally with Akali Dal then this result will be obvious. #WakeupCall"
"45",0,"@Tufail_Tariq @ANI @BJP4India Jis party Ke govt. state mee hoti hai woh yeh election jeeti hai.. Last two times aka… https://t.co/Bn8SFihMQN"
"46",1,"RT @AviralKapil1: @imra_mra @RailMinIndia @PiyushGoyalOffc @PiyushGoyal @BJP4India Don't know why do they lick? Always women empowerment, w…"
"47",1,"RT @AviralKapil1: @imra_mra @RailMinIndia @PiyushGoyalOffc @PiyushGoyal @BJP4India Don't know why do they lick? Always women empowerment, w…"
"48",0,"RT @fightertiger99: @rsprasad @_DigitalIndia @mygovindia @GoI_MeitY @PMOIndia @BJP4India Sir...#AblaNari  is Advantageous taking in the #fa…"
"49",2,"RT @BJP4India: I admire the spirit of entrepreneurship of the Korean people. I admire the way in which they have created and sustained thei…"
"50",0,"RT @RatanSharda55: But @BJP4India doesn't even know or has turned blind eye. Let's win a few more elections then we will see. You will see…"
"51",0,"@chitraaum @BJP4India @NitishKumar It’s time we replaced TRPs (Television Rating Points) with VRPs (Vulture Rating… https://t.co/3FeasDBvTC"
"52",-1,"@SMedia4 @mediacrooks @BJP4India @malviyamit @sambitswaraj @byadavbjp @AmitShah still unable 2 understand why offic… https://t.co/LxMs9Jun0T"
"53",0,"RT @siddaramaiah: PM @narendramodi loves to talk of corruption in administrations of the past &amp; of states not ruled by  @BJP4India 

Sir, i…"
"54",0,"RT @BJP4India: LIVE: PM Shri @narendramodi addressing the India-Korea Business Summit in Delhi. https://t.co/uFsufwiH6u"
"55",0,"RT @BJP4India: While total funds allocated to Karnataka by Modi government stand at a whopping approximately Rs. 3.36 lakh crore, the Sidda…"
"56",0,"RT @mashish24: @imra_mra @RailMinIndia @PiyushGoyalOffc @PiyushGoyal @BJP4India Why not all bjp member quit their seat for women that is tr…"
"57",0,"RT @BJP4India: While total funds allocated to Karnataka by Modi government stand at a whopping approximately Rs. 3.36 lakh crore, the Sidda…"
"58",1,"RT @HemantSirohi1: What days in #Democracy If it's true it's serious &amp; an clear breach of trust! Whats next to be witnessed? @BJP4India @IN…"
"59",0,"RT @BJP4India: LIVE: PM Shri @narendramodi addressing the India-Korea Business Summit in Delhi. https://t.co/uFsufwiH6u"
"60",0,"RT @mashish24: @imra_mra @RailMinIndia @PiyushGoyalOffc @PiyushGoyal @BJP4India Why not all bjp member quit their seat for women that is tr…"
"61",-1,"RT @NewsX: In my opinion, it’s a murder: BJP MP Subramanian Swamy on Sridevi’s demise
#SrideviDeathMystery #Sridevi @Swamy39 @BJP4India @sw…"
"62",-3,"RT @BJP4India: Siddaramaiah Govt in Karnataka has miserably failed on all fronts &amp; have become synonymous with corruption and misgovernance…"
"63",-1,"RT @sagarikaghose: The @INC MLA's son was rightly condemned for beating up an injured man, will the @BJP4India MLA who killed 9 people be e…"
"64",0,"RT @ThinkersPad: Today, @BJP4India occupies Political Hindutva platform so dominantly, that Shiv Sena has decided to look for other pasture…"
"65",0,"RT @BJP4India: While total funds allocated to Karnataka by Modi government stand at a whopping approximately Rs. 3.36 lakh crore, the Sidda…"
"66",1,"RT @BJP4India: Today our woman power has shown inner fortitude and self-confidence, has made herself self-reliant. Not only has she advance…"
"67",1,"@ravikum86964000 @BJP4India Congress free India"
"68",1,"@Tufail_Tariq @ANI @BJP4India Bjp was never strong in Punjab bevause they're ally of akali dal. And Hindus don't vo… https://t.co/CQLN2LrvcV"
"69",2,"@atulkasbekar All are media house of either @BJP4India or @INCIndia. In free time I loved to watch @AndTVOfficial -bhabhi ji ghar par hey"
