"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @noconversion: More missionaries are coming now @BJP4India  can not blame this on Congress ..BJP has gone Soft on real Hindu issues @sam…",FALSE,0,NA,2018-02-27 08:45:54,FALSE,NA,"968406826449539072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alokdb2011",264,TRUE,FALSE,NA,NA
"2","RT @BJP4India: From Princess to Poetry and from Buddha to Bollywood; India &amp; Korea have so much in common : PM @narendramodi - Watch at htt…",FALSE,0,NA,2018-02-27 08:45:40,FALSE,NA,"968406769579053062",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ASharmua",86,TRUE,FALSE,NA,NA
"3","RT @Nik_Haldankar: .@AAPGoa condemns .@BJP4India's ' Vendetta Politics' stand together for .@ArvindKejriwal <ed><U+00A0><U+00BD><ed><U+00B1><U+008D> https://t.co/xvccp9T1v7",FALSE,0,NA,2018-02-27 08:45:12,FALSE,NA,"968406651169468416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jvsk3",3,TRUE,FALSE,NA,NA
"4","RT @BJP4India: While total funds allocated to Karnataka by Modi government stand at a whopping approximately Rs. 3.36 lakh crore, the Sidda…",FALSE,0,NA,2018-02-27 08:45:09,FALSE,NA,"968406638838169601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kaykay2506",730,TRUE,FALSE,NA,NA
"5","RT @ThinkersPad: Today, @BJP4India occupies Political Hindutva platform so dominantly, that Shiv Sena has decided to look for other pasture…",FALSE,0,NA,2018-02-27 08:44:48,FALSE,NA,"968406550489518080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kal_Chiron",499,TRUE,FALSE,NA,NA
"6","@NewsX @Swamy39 @BJP4India @swamy_sena I too agree @Swamy39",FALSE,0,"NewsX",2018-02-27 08:44:45,FALSE,"968383124605472768","968406539118653441","23405846","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nonehatesme",0,FALSE,FALSE,NA,NA
"7","RT @bhangale: Life is Beautiful ... 
@ARCHANASHAH8 
@BJP4India 
@Ayushmishrabjp 
@gaby79285750 
@RRMahalle 
@ameesha_patel 
@AmrutaOfficial…",FALSE,0,NA,2018-02-27 08:44:43,FALSE,NA,"968406528989437952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ganesh66628094",39,TRUE,FALSE,NA,NA
"8","@Chancha85074606 @AmitShah @BJP4India @BJP4Karnataka @BSYBJP It is true this is alive because of such sprit like yo… https://t.co/SY6LOIKNp8",FALSE,0,"Chancha85074606",2018-02-27 08:44:37,TRUE,"968144629756391424","968406505002160128","966229733233999872","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaheshJiVerma1",0,FALSE,FALSE,NA,NA
"9","RT @AviralKapil1: @imra_mra @RailMinIndia @PiyushGoyalOffc @PiyushGoyal @BJP4India Don't know why do they lick? Always women empowerment, w…",FALSE,0,NA,2018-02-27 08:44:35,FALSE,NA,"968406496080838657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ksdratan",7,TRUE,FALSE,NA,NA
"10","@ptshrikant @BJP4India @UPGovt @BJP4UP Great sir",FALSE,0,"ptshrikant",2018-02-27 08:44:27,FALSE,"968405316479082496","968406463973539840","798135834","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RinkuVyas17",0,FALSE,FALSE,NA,NA
