"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @INCIndia: Our rich tributes to the fearless revolutionary and freedom fighter Chandra Shekhar Azad on his death anniversary. https://t.…",FALSE,0,NA,2018-02-27 08:46:43,FALSE,NA,"968407032058429440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","azhar786purnea",550,TRUE,FALSE,NA,NA
"2","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:46:38,FALSE,NA,"968407011636469761",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","80solomon",357,TRUE,FALSE,NA,NA
"3","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:46:23,FALSE,NA,"968406949145362437",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","anil_oct08",357,TRUE,FALSE,NA,NA
"4","RT @INCIndia: Our rich tributes to the fearless revolutionary and freedom fighter Chandra Shekhar Azad on his death anniversary. https://t.…",FALSE,0,NA,2018-02-27 08:46:18,FALSE,NA,"968406926894751744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YranjanaYadav",550,TRUE,FALSE,NA,NA
"5","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:46:15,FALSE,NA,"968406915985403904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BLRSouthAIPC",357,TRUE,FALSE,NA,NA
"6","RT @anuraag_saxena: This arrested accused is here on a poster with #IndiraGandhi, #SoniaGandhi &amp; @OfficeOfRG.
FYI, @INCIndia has STILL not…",FALSE,0,NA,2018-02-27 08:46:15,FALSE,NA,"968406915377127424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Notup21",345,TRUE,FALSE,NA,NA
"7","RT @INCIndia: For #OneMeghalaya that respects all cultures, traditions and people, and takes everyone along on the path to development, #Vo…",FALSE,0,NA,2018-02-27 08:46:12,FALSE,NA,"968406902081114112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","i_am_IBBU",408,TRUE,FALSE,NA,NA
"8","@siddaramaiah LOGIC of @OfficeOfRG  and all in @INCIndia for accusing MODI on FRAUDS /COMMUNAL AGENDA / UNDEMOCRATI… https://t.co/w72xu13nWr",FALSE,0,"siddaramaiah",2018-02-27 08:46:09,TRUE,"968341141283274753","968406890366451712","891250296512323585","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","avakava",0,FALSE,FALSE,NA,NA
"9","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:46:03,FALSE,NA,"968406867461443586",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NaveenK03448729",357,TRUE,FALSE,NA,NA
"10","This is what. @INCIndia expert in @priyankac19
@bainjal
@JhaSanjay https://t.co/etu3J0Qc6F",FALSE,0,NA,2018-02-27 08:45:58,FALSE,NA,"968406845701308416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jyotikush1",0,FALSE,FALSE,NA,NA
"11","Tributes to the great freedom fighter and revolutionary #ChandraShekharAzad on his SmrutiDin @OfficeOfRG @INCIndia… https://t.co/jJiqQqJXZg",FALSE,0,NA,2018-02-27 08:45:53,TRUE,NA,"968406822179635201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ishu343",0,FALSE,FALSE,NA,NA
"12","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:45:52,FALSE,NA,"968406820413952000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SacredInsanity",357,TRUE,FALSE,NA,NA
"13","RT @INCIndia: Congress President Rahul Gandhi offered his respects at the Basel Mission Church, Hubli, Karnataka. #JanaAashirwadaYatre #Nav…",FALSE,0,NA,2018-02-27 08:45:52,FALSE,NA,"968406818715291648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Vsrikanth85",560,TRUE,FALSE,NA,NA
"14","@Shehzad_Ind Sir you'll hear from @INCIndia in evening it's political vendeta this government scared from Congress… https://t.co/JdzorR2Ry6",FALSE,0,"Shehzad_Ind",2018-02-27 08:45:51,TRUE,"968405650018635776","968406815586312193","392608775","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yviren",0,FALSE,FALSE,NA,NA
"15","RT @RuhiRizvi: @Khandelw13Sagar @INCIndia @PiyushGoyal P.S. You're losing the plot dude. Stick to communalism and polarisation- that's your…",FALSE,0,NA,2018-02-27 08:45:51,FALSE,NA,"968406813975699458",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NembuKol",2,TRUE,FALSE,NA,NA
"16","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:45:48,FALSE,NA,"968406804387409922",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Abhi27111995",357,TRUE,FALSE,NA,NA
"17","RT @INCIndia: Congress President Rahul Gandhi seeks blessings at the Godchi Temple, Ramdurg, Karnataka. #JanaAashirwadaYatre #NavaKarnataka…",FALSE,0,NA,2018-02-27 08:45:45,FALSE,NA,"968406791112421376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vallabhthanvi",564,TRUE,FALSE,NA,NA
"18","RT @ni30y: @MahilaCongress @INCIndia @OfficeOfRG @sushmitadevmp @nsui @IYC @ProfCong @harishrawatcmuk @rajeevgowda @manoharparrikar @Office…",FALSE,0,NA,2018-02-27 08:45:44,FALSE,NA,"968406784640655360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MunnabhaiKpp",1,TRUE,FALSE,NA,NA
"19","RT @ShefVaidya: Wah! This must be the 'Yuva Josh, not Kattar Soch' that @INCIndia keeps talking about!! First that Mohammed Haris Nalapad,…",FALSE,0,NA,2018-02-27 08:45:40,FALSE,NA,"968406769327312896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gknigam",733,TRUE,FALSE,NA,NA
"20","RT @INCIndia: PM Modi promised 'Make in India', 'Stand Up India', 'Beti Bachao...' schemes but have any of these promises been met? The UPA…",FALSE,0,NA,2018-02-27 08:45:40,FALSE,NA,"968406768605741056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uxlC4yoh5cEoVau",317,TRUE,FALSE,NA,NA
"21","RT @RuhiRizvi: @INCIndia @PiyushGoyal @BJYM Haha! Witty! Here's a comparison of the first three years @PiyushGoyal ji. Don't mess with data…",FALSE,0,NA,2018-02-27 08:45:36,FALSE,NA,"968406752541794304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NembuKol",10,TRUE,FALSE,NA,NA
"22","RT @DeshNM: When will Sri Rahul ji break his silence on this @INCIndia #MauniCongress https://t.co/d0e30z6WkJ",FALSE,0,NA,2018-02-27 08:45:35,FALSE,NA,"968406746220855296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Subhankar050780",2,TRUE,FALSE,NA,NA
"23","now for @INCIndia @OfficeOfRG  #Sohrabuddin is Equal to #ChandraShekharAzad #MahtmaGandhi  #SardarPatel more than G… https://t.co/fwYKt7tvqy",FALSE,0,NA,2018-02-27 08:45:33,TRUE,NA,"968406740046876672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","varaprasadTR",0,FALSE,FALSE,NA,NA
"24","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:45:31,FALSE,NA,"968406731242942464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","harisanwer1987",357,TRUE,FALSE,NA,NA
"25","@ZeeNewsHindi @INCIndia Good news",FALSE,0,"ZeeNewsHindi",2018-02-27 08:45:28,FALSE,"968406355500466176","968406719939293186","461841349","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","susheelkumarroy",0,FALSE,FALSE,NA,NA
"26","RT @DrGPradhan: Thumb rule

Every SCAM in India has its root in @incindia and 10JP

Here comes another 100Cr SCAM. Will spineless @officeof…",FALSE,0,NA,2018-02-27 08:45:23,FALSE,NA,"968406696161923072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PawanJRai",733,TRUE,FALSE,NA,NA
